Company,Revenue,Profit
McLouth Steel,200.2,-15.9
Automation Industries,198.6,-10.2
Granite City Steel,198,3.6
Green Giant,197.5,4.3
Inland Container,197.2,7
Allied Products,196.8,-2
American Hoist & Derrick,196.7,2.1
Varian Associates,196,4.7
Trans Union,195,21.2
Brockway,194.5,14.2
Gardner-Denver,193.9,23.3
Wean United,193.2,-3.3
General Signal,193.2,8.9
General Host,193.1,-12
Riegel Paper,191.3,-4.9
Ceco Industries,189.1,6.6
Houdaille Industries,187.9,6.8
Briggs & Stratton,187.8,14.5
Congoleum,187.7,2.2
Baxter International,187.6,14.3
Max Factor,187.5,16.5
F. & M. Schaefer,186.8,5.8
Rheingold,186.7,5.8
Armstrong Rubber,186.1,3.9
Masonite,185.1,17
Lubrizol,183.6,21.9
Arcata,181.3,10.8
Instrument Systems,180,0.6
Easco,179.9,5.8
E.T. Barwick Industries,179.2,5.5
Johnson Service,178.8,8.9
National Homes,178.5,5.7
Capitol Industries,178.1,8.7
Reichhold Chemicals,177.9,3.2
Hanes,177.1,6.3
Wm. Wrigley Jr.,176.8,15.2
Farmers Union Central Exchange,175.3,N.A.
Hoover Universal,174.7,7.1
Carpenter Technology,174.4,11.1
Keebler,174.1,2.7
Maytag,173.7,22.7
Sanders Associates,173.4,0.8
Willamette Industries,172.9,10.9
Interpace,172.5,7.1
Pneumo Dynamics,172.2,2.6
Crown Central,172.2,3.5
Western Publishing Group,171.5,3.9
Beech Aircraft,169.8,-7.7
Fibreboard,169.7,1.2
Nalco Chemical,169.5,15.4
General Refractories,169.4,4.7
Athlone Industries,168.4,0.6
Alberto-Culver,167.8,8.1
Triangle Industries,166.7,0.5
Arvin Industries,165.8,2.7
